tweetler,tarih
TOBB Türkiye Ekonomi Şûrası,18 Kas 2020
Türkiye - Afrika Ekonomi ve İş Forumu Açılış Oturumu,8 Eki 2020
TOBB Ekonomi ve Teknoloji Üniversitesi Hukuk Fakültesi Diploma Töreni,12 Eyl 2020
Orta Anadolu Ekonomi Forumu,4 Eyl 2019
"Terör, güvenlik ve ekonomi başta olmak üzere Türkiye’nin bekasına yönelik tehditleri 82 milyon olarak hep beraber göğüslememiz gerekiyor. Önümüzde 4 buçuk yıllık bir icraat dönemi bulunmaktadır.",27 Nis 2019
"Ülkemizin önünde 4,5 yıllık kesintisiz bir icraat dönemi bulunuyor. 

Seçim tartışmalarını geride bırakarak, ekonomi ve güvenlik başta olmak üzere asıl gündemimize odaklanmamız şarttır.",19 Nis 2019
TOBB Ekonomi Şurası,21 Oca 2019
Türkiye Afrika Ekonomi ve İş Forumu,10 Eki 2018
"Milletler için kültür ve sanat, en az ekonomi ve savunma sanayii kadar önemlidir. 

Ekonomi ve savunma sanayii, sizin dünyanın somut güçleriyle olan ilişkinizde belirleyiciyken, kültür ve sanat somut olmayan unsurlar karşısındaki konumunuzu tayin eder. 

https://tccb.gov.tr/haberler/410/90522/milletler-icin-kultur-ve-sanat-en-az-ekonomi-ve-savunma-sanayii-kadar-onemlidir.html…",22 Şub 2018
"İnsan İçin Orman, Ekonomi İçin Orman",21 Mar 2017
Özellikle 2013 yılından beri maruz kaldığımız tüm saldırılar ekonomi boyutuyla kurgulanmakta ve sahnelenmektedir.,17 Oca 2017
"21. Yüzyılda insanlık, bilim, teknoloji ve ekonomi bakımından zirve dönemini yaşıyor ancak bu parlak tablonun utanç verici bir yüzü de var.",20 Eyl 2016
"Türkiye ekonomisi 2001'deki ekonomi değil. Türkiye'de fırtınalara, boranlara dayanacak bir ekonomi var.",1 Şub 2014
Demokrasinin tehdit altında olduğu bir ülkede ekonomi de tehdit altındadır.,31 Tem 2013
"Türkiye'de hala yolsuzluklar var. Bu işi sıfırlamanın mücadelesini sürdürüyoruz. Kayıt dışı ekonomi, vergi yolsuzlukları ile savaşıyoruz.",19 Tem 2013
Ekonomi kötüye gitsin biz kazanalım diye çırpınanlar da oldu. Bu operasyon tutmadı rahat olun. Türkiye üzerinde bu ameliyatı yapamadılar.,25 Haz 2013
Ekonomi ile ilgili çalışmalarımız oldu. İlgili bakanlarımız bu konuda ilişkilerini devam ettirecek.,21 May 2013
"Milletler için kültür ve sanat, en az ekonomi ve savunma sanayii kadar önemlidir. 

Ekonomi ve savunma sanayii, sizin dünyanın somut güçleriyle olan ilişkinizde belirleyiciyken, kültür ve sanat somut olmayan unsurlar karşısındaki konumunuzu tayin eder. 

https://tccb.gov.tr/haberler/410/90522/milletler-icin-kultur-ve-sanat-en-az-ekonomi-ve-savunma-sanayii-kadar-onemlidir.html…",22 Şub 2018
"İnsan İçin Orman, Ekonomi İçin Orman",21 Mar 2017
Özellikle 2013 yılından beri maruz kaldığımız tüm saldırılar ekonomi boyutuyla kurgulanmakta ve sahnelenmektedir.,17 Oca 2017
"21. Yüzyılda insanlık, bilim, teknoloji ve ekonomi bakımından zirve dönemini yaşıyor ancak bu parlak tablonun utanç verici bir yüzü de var.",20 Eyl 2016
"Türkiye ekonomisi 2001'deki ekonomi değil. Türkiye'de fırtınalara, boranlara dayanacak bir ekonomi var.",1 Şub 2014
Demokrasinin tehdit altında olduğu bir ülkede ekonomi de tehdit altındadır.,31 Tem 2013
"Türkiye'de hala yolsuzluklar var. Bu işi sıfırlamanın mücadelesini sürdürüyoruz. Kayıt dışı ekonomi, vergi yolsuzlukları ile savaşıyoruz.",19 Tem 2013
Ekonomi kötüye gitsin biz kazanalım diye çırpınanlar da oldu. Bu operasyon tutmadı rahat olun. Türkiye üzerinde bu ameliyatı yapamadılar.,25 Haz 2013
Ekonomi ile ilgili çalışmalarımız oldu. İlgili bakanlarımız bu konuda ilişkilerini devam ettirecek.,21 May 2013
"Milletler için kültür ve sanat, en az ekonomi ve savunma sanayii kadar önemlidir. 

Ekonomi ve savunma sanayii, sizin dünyanın somut güçleriyle olan ilişkinizde belirleyiciyken, kültür ve sanat somut olmayan unsurlar karşısındaki konumunuzu tayin eder. 

https://tccb.gov.tr/haberler/410/90522/milletler-icin-kultur-ve-sanat-en-az-ekonomi-ve-savunma-sanayii-kadar-onemlidir.html…",22 Şub 2018
"İnsan İçin Orman, Ekonomi İçin Orman",21 Mar 2017
Özellikle 2013 yılından beri maruz kaldığımız tüm saldırılar ekonomi boyutuyla kurgulanmakta ve sahnelenmektedir.,17 Oca 2017
"21. Yüzyılda insanlık, bilim, teknoloji ve ekonomi bakımından zirve dönemini yaşıyor ancak bu parlak tablonun utanç verici bir yüzü de var.",20 Eyl 2016
"Türkiye ekonomisi 2001'deki ekonomi değil. Türkiye'de fırtınalara, boranlara dayanacak bir ekonomi var.",1 Şub 2014
Demokrasinin tehdit altında olduğu bir ülkede ekonomi de tehdit altındadır.,31 Tem 2013
"Türkiye'de hala yolsuzluklar var. Bu işi sıfırlamanın mücadelesini sürdürüyoruz. Kayıt dışı ekonomi, vergi yolsuzlukları ile savaşıyoruz.",19 Tem 2013
Ekonomi kötüye gitsin biz kazanalım diye çırpınanlar da oldu. Bu operasyon tutmadı rahat olun. Türkiye üzerinde bu ameliyatı yapamadılar.,25 Haz 2013
Ekonomi ile ilgili çalışmalarımız oldu. İlgili bakanlarımız bu konuda ilişkilerini devam ettirecek.,21 May 2013
