tweetler,tarih
"Yerlileştirme ve Türk malı ürünleri destekleme programlarımızla cari açığımızı 3 yılda 30 Milyar Dolar azaltacağız.

Vakit Yerlileşme Vakti. Vakit Türkiye Vakti!",14 Haz 2018
"Gemi inşaatında yerli üretimi destekliyoruz. Koster filolarımızı yenileyerek sanayimize 5 Milyar Dolar katkı sağlıyoruz. 

Vakit Güçlü Denizcilik Vakti. Vakit Türkiye Vakti!",13 Haz 2018
"Halihazırda 1,5 milyar dolar olan ticaret hacmimizi kısa sürede 5 milyar dolara çıkararak ilişkilerimizi daha da geliştireceğimize inanıyor, ziyaretim sırasında göstermiş oldukları sıcak misafirperverlik için kardeşim Mirziyoyev'e ve Özbekistan halkına şükranlarımı sunuyorum.",30 Nis 2018
"Yakın zamanda 2 milyar Dolar ek yatırım ile mevcut kapasiteyi inşallah 5,4 milyar metreküpe çıkaracağız.",10 Şub 2017
700 Milyon Dolar'a malolan bu dev yatırım ile Enerji alanında büyümeye ve güçlenmeye devam ediyoruz.,10 Şub 2017
"Varılan anlaşma uyarınca İsrail, Mavi Marmara'da şehid olan masum kardeşlerimizin ailelerine 20 milyon Dolar tazminat ödeyecek.",27 Haz 2016
"Âlim hakkın yanında olur, âlim ilmini satmaz. Dolar'a, Riyal'e mahkum olmuş kişiden âlim olmaz.",17 Tem 2014
"Türkiye olarak, 2014 yılı Ocak ayında ihracatı %10 arttırarak 12 milyar dolar ile Cumhuriyet tarihinin rekorunu kırdık.",4 Şub 2014
"Yakın zamanda 2 milyar Dolar ek yatırım ile mevcut kapasiteyi inşallah 5,4 milyar metreküpe çıkaracağız.",10 Şub 2017
700 Milyon Dolar'a malolan bu dev yatırım ile Enerji alanında büyümeye ve güçlenmeye devam ediyoruz.,10 Şub 2017
"Varılan anlaşma uyarınca İsrail, Mavi Marmara'da şehid olan masum kardeşlerimizin ailelerine 20 milyon Dolar tazminat ödeyecek.",27 Haz 2016
"Âlim hakkın yanında olur, âlim ilmini satmaz. Dolar'a, Riyal'e mahkum olmuş kişiden âlim olmaz.",17 Tem 2014
"Türkiye olarak, 2014 yılı Ocak ayında ihracatı %10 arttırarak 12 milyar dolar ile Cumhuriyet tarihinin rekorunu kırdık.",4 Şub 2014
"Eğer bu iktidar yolsuzlukların iktidarı olsaydı,Merkez Banka'sının 27.5milyar dolar olan döviz rezervini 136milyar dolara çıkarabilir miydi?",27 Ara 2013
